TrackID,Timestamp,Vehicle,Speed (km/h),License Plate,Location
4,2025-10-20 22:28:05,Car,26.39,UNKNOWN,Highway A
5,2025-10-20 22:28:05,Car,15.35,UNKNOWN,Highway A
18,2025-10-20 22:28:05,Car,77.23,UNKNOWN,Highway A
1,2025-10-20 22:28:06,Car,22.46,UNKNOWN,Highway A
3,2025-10-20 22:28:06,Car,28.76,UNKNOWN,Highway A
4,2025-10-20 22:28:06,Car,26.39,UNKNOWN,Highway A
5,2025-10-20 22:28:06,Car,15.35,UNKNOWN,Highway A
6,2025-10-20 22:28:07,Car,11.08,UNKNOWN,Highway A
18,2025-10-20 22:28:07,Car,90.38,UNKNOWN,Highway A
1,2025-10-20 22:28:08,Car,22.46,UNKNOWN,Highway A
3,2025-10-20 22:28:08,Car,25.93,UNKNOWN,Highway A
4,2025-10-20 22:28:08,Car,25.65,UNKNOWN,Highway A
5,2025-10-20 22:28:09,Car,14.59,UNKNOWN,Highway A
6,2025-10-20 22:28:09,Car,11.84,UNKNOWN,Highway A
18,2025-10-20 22:28:09,Car,101.93,UNKNOWN,Highway A
1,2025-10-20 22:28:10,Car,20.3,UNKNOWN,Highway A
3,2025-10-20 22:28:10,Car,22.78,UNKNOWN,Highway A
4,2025-10-20 22:28:10,Car,22.51,UNKNOWN,Highway A
5,2025-10-20 22:28:10,Car,13.07,UNKNOWN,Highway A
6,2025-10-20 22:28:11,Car,11.46,UNKNOWN,Highway A
18,2025-10-20 22:28:11,Car,96.65,UNKNOWN,Highway A
1,2025-10-20 22:28:12,Car,20.77,UNKNOWN,Highway A
3,2025-10-20 22:28:12,Car,20.67,UNKNOWN,Highway A
4,2025-10-20 22:28:12,Car,21.77,UNKNOWN,Highway A
5,2025-10-20 22:28:12,Car,12.31,UNKNOWN,Highway A
6,2025-10-20 22:28:12,Car,11.46,UNKNOWN,Highway A
18,2025-10-20 22:28:13,Car,100.62,UNKNOWN,Highway A
1,2025-10-20 22:28:14,Car,19.36,UNKNOWN,Highway A
3,2025-10-20 22:28:14,Car,19.92,UNKNOWN,Highway A
4,2025-10-20 22:28:14,Car,21.03,UNKNOWN,Highway A
5,2025-10-20 22:28:14,Car,11.13,UNKNOWN,Highway A
6,2025-10-20 22:28:14,Car,11.08,UNKNOWN,Highway A
18,2025-10-20 22:28:15,Car,106.15,UNKNOWN,Highway A
20,2025-10-20 22:28:15,Car,74.08,UNKNOWN,Highway A
1,2025-10-20 22:28:16,Car,21.03,UNKNOWN,Highway A
3,2025-10-20 22:28:17,Car,21.72,UNKNOWN,Highway A
4,2025-10-20 22:28:17,Car,21.98,UNKNOWN,Highway A
5,2025-10-20 22:28:17,Car,12.31,UNKNOWN,Highway A
6,2025-10-20 22:28:17,Car,12.61,UNKNOWN,Highway A
18,2025-10-20 22:28:17,Car,120.33,UNKNOWN,Highway A
20,2025-10-20 22:28:18,Car,86.1,UNKNOWN,Highway A
1,2025-10-20 22:28:19,Car,22.24,UNKNOWN,Highway A
3,2025-10-20 22:28:19,Car,21.87,UNKNOWN,Highway A
4,2025-10-20 22:28:19,Car,22.51,UNKNOWN,Highway A
5,2025-10-20 22:28:19,Car,12.43,UNKNOWN,Highway A
6,2025-10-20 22:28:19,Car,12.98,UNKNOWN,Highway A
18,2025-10-20 22:28:20,Car,124.27,UNKNOWN,Highway A
20,2025-10-20 22:28:20,Car,98.08,UNKNOWN,Highway A
1,2025-10-20 22:28:22,Car,22.71,UNKNOWN,Highway A
3,2025-10-20 22:28:22,Car,21.72,UNKNOWN,Highway A
4,2025-10-20 22:28:22,Car,22.24,UNKNOWN,Highway A
5,2025-10-20 22:28:22,Car,11.99,UNKNOWN,Highway A
6,2025-10-20 22:28:22,Car,12.98,UNKNOWN,Highway A
18,2025-10-20 22:28:22,Car,127.45,UNKNOWN,Highway A
20,2025-10-20 22:28:23,Car,114.7,UNKNOWN,Highway A
1,2025-10-20 22:28:24,Car,20.77,UNKNOWN,Highway A
3,2025-10-20 22:28:24,Car,19.77,UNKNOWN,Highway A
4,2025-10-20 22:28:24,Car,20.56,UNKNOWN,Highway A
5,2025-10-20 22:28:24,Car,11.24,UNKNOWN,Highway A
6,2025-10-20 22:28:25,Car,12.22,UNKNOWN,Highway A
18,2025-10-20 22:28:25,Car,117.9,UNKNOWN,Highway A
20,2025-10-20 22:28:25,Car,111.7,UNKNOWN,Highway A
1,2025-10-20 22:28:27,Car,20.53,UNKNOWN,Highway A
3,2025-10-20 22:28:27,Car,19.33,UNKNOWN,Highway A
4,2025-10-20 22:28:27,Car,19.36,UNKNOWN,Highway A
5,2025-10-20 22:28:27,Car,10.37,UNKNOWN,Highway A
6,2025-10-20 22:28:27,Car,12.22,UNKNOWN,Highway A
18,2025-10-20 22:28:27,Car,112.81,UNKNOWN,Highway A
20,2025-10-20 22:28:28,Car,112.88,UNKNOWN,Highway A
1,2025-10-20 22:28:29,Car,21.03,UNKNOWN,Highway A
3,2025-10-20 22:28:29,Car,18.9,UNKNOWN,Highway A
4,2025-10-20 22:28:29,Car,18.89,UNKNOWN,Highway A
5,2025-10-20 22:28:29,Car,10.37,UNKNOWN,Highway A
6,2025-10-20 22:28:30,Car,11.84,UNKNOWN,Highway A
18,2025-10-20 22:28:30,Car,106.41,UNKNOWN,Highway A
20,2025-10-20 22:28:30,Car,117.73,UNKNOWN,Highway A
1,2025-10-20 22:28:32,Car,23.44,UNKNOWN,Highway A
3,2025-10-20 22:28:32,Car,19.99,UNKNOWN,Highway A
4,2025-10-20 22:28:32,Car,20.56,UNKNOWN,Highway A
5,2025-10-20 22:28:32,Car,11.48,UNKNOWN,Highway A
6,2025-10-20 22:28:32,Car,12.98,UNKNOWN,Highway A
18,2025-10-20 22:28:32,Car,109.85,UNKNOWN,Highway A
20,2025-10-20 22:28:33,Car,131.02,UNKNOWN,Highway A
1,2025-10-20 22:28:34,Car,22.97,UNKNOWN,Highway A
3,2025-10-20 22:28:34,Car,19.47,UNKNOWN,Highway A
4,2025-10-20 22:28:34,Car,19.83,UNKNOWN,Highway A
5,2025-10-20 22:28:34,Car,11.13,UNKNOWN,Highway A
6,2025-10-20 22:28:34,Car,13.37,UNKNOWN,Highway A
18,2025-10-20 22:28:35,Car,109.84,UNKNOWN,Highway A
20,2025-10-20 22:28:35,Car,138.62,UNKNOWN,Highway A
1,2025-10-20 22:28:36,Car,26.56,UNKNOWN,Highway A
3,2025-10-20 22:28:36,Car,18.72,UNKNOWN,Highway A
4,2025-10-20 22:28:37,Car,19.83,UNKNOWN,Highway A
5,2025-10-20 22:28:37,Car,11.56,UNKNOWN,Highway A
6,2025-10-20 22:28:37,Car,14.13,UNKNOWN,Highway A
18,2025-10-20 22:28:37,Car,105.32,UNKNOWN,Highway A
20,2025-10-20 22:28:37,Car,142.05,UNKNOWN,Highway A
1,2025-10-20 22:28:39,Car,24.63,UNKNOWN,Highway A
3,2025-10-20 22:28:39,Car,16.77,UNKNOWN,Highway A
4,2025-10-20 22:28:39,Car,18.15,UNKNOWN,Highway A
6,2025-10-20 22:28:39,Car,12.98,UNKNOWN,Highway A
18,2025-10-20 22:28:39,Car,91.7,UNKNOWN,Highway A
20,2025-10-20 22:28:40,Car,133.35,UNKNOWN,Highway A
1,2025-10-20 22:28:41,Car,24.88,UNKNOWN,Highway A
3,2025-10-20 22:28:41,Car,15.28,UNKNOWN,Highway A
4,2025-10-20 22:28:41,Car,17.15,UNKNOWN,Highway A
6,2025-10-20 22:28:41,Car,12.22,UNKNOWN,Highway A
18,2025-10-20 22:28:41,Car,83.46,UNKNOWN,Highway A
20,2025-10-20 22:28:42,Car,127.86,UNKNOWN,Highway A
1,2025-10-20 22:28:43,Car,25.36,UNKNOWN,Highway A
3,2025-10-20 22:28:43,Car,14.08,UNKNOWN,Highway A
4,2025-10-20 22:28:43,Car,16.49,UNKNOWN,Highway A
6,2025-10-20 22:28:43,Car,12.22,UNKNOWN,Highway A
18,2025-10-20 22:28:44,Car,78.19,UNKNOWN,Highway A
20,2025-10-20 22:28:44,Car,118.41,UNKNOWN,Highway A
1,2025-10-20 22:28:45,Car,28.5,UNKNOWN,Highway A
3,2025-10-20 22:28:46,Car,15.28,UNKNOWN,Highway A
4,2025-10-20 22:28:46,Car,17.89,UNKNOWN,Highway A
6,2025-10-20 22:28:46,Car,14.51,UNKNOWN,Highway A
18,2025-10-20 22:28:46,Car,82.54,UNKNOWN,Highway A
20,2025-10-20 22:28:46,Car,122.71,UNKNOWN,Highway A
1,2025-10-20 22:28:47,Car,29.48,UNKNOWN,Highway A
3,2025-10-20 22:28:48,Car,15.58,UNKNOWN,Highway A
4,2025-10-20 22:28:48,Car,18.15,UNKNOWN,Highway A
5,2025-10-20 22:28:48,Car,10.37,UNKNOWN,Highway A
6,2025-10-20 22:28:48,Car,14.51,UNKNOWN,Highway A
18,2025-10-20 22:28:49,Car,81.18,UNKNOWN,Highway A
20,2025-10-20 22:28:49,Car,124.52,UNKNOWN,Highway A
1,2025-10-20 22:28:50,Car,28.5,UNKNOWN,Highway A
3,2025-10-20 22:28:50,Car,15.58,UNKNOWN,Highway A
4,2025-10-20 22:28:50,Car,17.41,UNKNOWN,Highway A
5,2025-10-20 22:28:51,Car,10.37,UNKNOWN,Highway A
6,2025-10-20 22:28:51,Car,15.66,UNKNOWN,Highway A
18,2025-10-20 22:28:51,Car,77.9,UNKNOWN,Highway A
20,2025-10-20 22:28:51,Car,119.08,UNKNOWN,Highway A
1,2025-10-20 22:28:52,Car,26.56,UNKNOWN,Highway A
3,2025-10-20 22:28:52,Car,14.08,UNKNOWN,Highway A
4,2025-10-20 22:28:52,Car,16.21,UNKNOWN,Highway A
6,2025-10-20 22:28:53,Car,14.53,UNKNOWN,Highway A
18,2025-10-20 22:28:53,Car,70.76,UNKNOWN,Highway A
20,2025-10-20 22:28:53,Car,105.56,UNKNOWN,Highway A
1,2025-10-20 22:28:54,Car,28.29,UNKNOWN,Highway A
3,2025-10-20 22:28:54,Car,14.38,UNKNOWN,Highway A
4,2025-10-20 22:28:54,Car,15.74,UNKNOWN,Highway A
6,2025-10-20 22:28:54,Car,14.13,UNKNOWN,Highway A
18,2025-10-20 22:28:55,Car,62.47,UNKNOWN,Highway A
20,2025-10-20 22:28:55,Car,94.94,UNKNOWN,Highway A
1,2025-10-20 22:28:56,Car,27.53,UNKNOWN,Highway A
3,2025-10-20 22:28:56,Car,14.38,UNKNOWN,Highway A
4,2025-10-20 22:28:56,Car,14.83,UNKNOWN,Highway A
6,2025-10-20 22:28:56,Car,14.13,UNKNOWN,Highway A
18,2025-10-20 22:28:57,Car,57.21,UNKNOWN,Highway A
20,2025-10-20 22:28:57,Car,88.57,UNKNOWN,Highway A
1,2025-10-20 22:28:58,Car,30.19,UNKNOWN,Highway A
3,2025-10-20 22:28:58,Car,15.13,UNKNOWN,Highway A
4,2025-10-20 22:28:58,Car,16.03,UNKNOWN,Highway A
6,2025-10-20 22:28:58,Car,15.27,UNKNOWN,Highway A
18,2025-10-20 22:28:59,Car,59.31,UNKNOWN,Highway A
20,2025-10-20 22:28:59,Car,92.03,UNKNOWN,Highway A
1,2025-10-20 22:29:00,Car,30.67,UNKNOWN,Highway A
3,2025-10-20 22:29:00,Car,14.69,UNKNOWN,Highway A
4,2025-10-20 22:29:01,Car,17.08,UNKNOWN,Highway A
6,2025-10-20 22:29:01,Car,16.46,UNKNOWN,Highway A
18,2025-10-20 22:29:01,Car,58.9,UNKNOWN,Highway A
20,2025-10-20 22:29:01,Car,90.09,UNKNOWN,Highway A
1,2025-10-20 22:29:02,Car,31.16,UNKNOWN,Highway A
3,2025-10-20 22:29:03,Car,14.38,UNKNOWN,Highway A
4,2025-10-20 22:29:03,Car,16.49,UNKNOWN,Highway A
6,2025-10-20 22:29:03,Car,17.22,UNKNOWN,Highway A
18,2025-10-20 22:29:03,Car,55.2,UNKNOWN,Highway A
20,2025-10-20 22:29:03,Car,85.81,UNKNOWN,Highway A
1,2025-10-20 22:29:04,Car,28.98,UNKNOWN,Highway A
3,2025-10-20 22:29:05,Car,13.18,UNKNOWN,Highway A
4,2025-10-20 22:29:05,Car,14.83,UNKNOWN,Highway A
6,2025-10-20 22:29:05,Car,15.7,UNKNOWN,Highway A
18,2025-10-20 22:29:05,Car,48.63,UNKNOWN,Highway A
20,2025-10-20 22:29:05,Car,75.16,UNKNOWN,Highway A
1,2025-10-20 22:29:06,Car,28.26,UNKNOWN,Highway A
3,2025-10-20 22:29:06,Car,12.13,UNKNOWN,Highway A
4,2025-10-20 22:29:06,Car,13.8,UNKNOWN,Highway A
6,2025-10-20 22:29:07,Car,15.35,UNKNOWN,Highway A
18,2025-10-20 22:29:07,Car,45.29,UNKNOWN,Highway A
20,2025-10-20 22:29:07,Car,67.5,UNKNOWN,Highway A
1,2025-10-20 22:29:08,Car,30.44,UNKNOWN,Highway A
3,2025-10-20 22:29:08,Car,11.68,UNKNOWN,Highway A
4,2025-10-20 22:29:08,Car,13.8,UNKNOWN,Highway A
6,2025-10-20 22:29:09,Car,14.94,UNKNOWN,Highway A
18,2025-10-20 22:29:09,Car,44.36,UNKNOWN,Highway A
20,2025-10-20 22:29:09,Car,62.75,UNKNOWN,Highway A
1,2025-10-20 22:29:11,Car,34.55,UNKNOWN,Highway A
3,2025-10-20 22:29:11,Car,13.18,UNKNOWN,Highway A
4,2025-10-20 22:29:11,Car,14.27,UNKNOWN,Highway A
6,2025-10-20 22:29:11,Car,16.82,UNKNOWN,Highway A
18,2025-10-20 22:29:11,Car,48.25,UNKNOWN,Highway A
20,2025-10-20 22:29:11,Car,66.64,UNKNOWN,Highway A
1,2025-10-20 22:29:13,Car,34.78,UNKNOWN,Highway A
3,2025-10-20 22:29:13,Car,13.18,UNKNOWN,Highway A
4,2025-10-20 22:29:13,Car,15.0,UNKNOWN,Highway A
6,2025-10-20 22:29:13,Car,17.58,UNKNOWN,Highway A
18,2025-10-20 22:29:13,Car,47.34,UNKNOWN,Highway A
20,2025-10-20 22:29:13,Car,69.29,UNKNOWN,Highway A
1,2025-10-20 22:29:14,Car,34.53,UNKNOWN,Highway A
3,2025-10-20 22:29:15,Car,13.07,UNKNOWN,Highway A
4,2025-10-20 22:29:15,Car,14.74,UNKNOWN,Highway A
6,2025-10-20 22:29:15,Car,17.95,UNKNOWN,Highway A
18,2025-10-20 22:29:15,Car,46.14,UNKNOWN,Highway A
20,2025-10-20 22:29:16,Car,67.67,UNKNOWN,Highway A
1,2025-10-20 22:29:17,Car,31.64,UNKNOWN,Highway A
3,2025-10-20 22:29:17,Car,11.99,UNKNOWN,Highway A
4,2025-10-20 22:29:17,Car,13.53,UNKNOWN,Highway A
6,2025-10-20 22:29:17,Car,17.22,UNKNOWN,Highway A
18,2025-10-20 22:29:17,Car,41.64,UNKNOWN,Highway A
20,2025-10-20 22:29:18,Car,60.41,UNKNOWN,Highway A
1,2025-10-20 22:29:19,Car,33.09,UNKNOWN,Highway A
3,2025-10-20 22:29:19,Car,11.56,UNKNOWN,Highway A
4,2025-10-20 22:29:19,Car,11.59,UNKNOWN,Highway A
6,2025-10-20 22:29:19,Car,16.82,UNKNOWN,Highway A
18,2025-10-20 22:29:19,Car,39.42,UNKNOWN,Highway A
20,2025-10-20 22:29:19,Car,55.83,UNKNOWN,Highway A
1,2025-10-20 22:29:21,Car,34.29,UNKNOWN,Highway A
3,2025-10-20 22:29:21,Car,11.56,UNKNOWN,Highway A
4,2025-10-20 22:29:21,Car,12.33,UNKNOWN,Highway A
6,2025-10-20 22:29:21,Car,17.22,UNKNOWN,Highway A
18,2025-10-20 22:29:21,Car,37.8,UNKNOWN,Highway A
20,2025-10-20 22:29:22,Car,52.07,UNKNOWN,Highway A
1,2025-10-20 22:29:23,Car,38.4,UNKNOWN,Highway A
3,2025-10-20 22:29:23,Car,11.99,UNKNOWN,Highway A
4,2025-10-20 22:29:23,Car,13.06,UNKNOWN,Highway A
6,2025-10-20 22:29:23,Car,19.51,UNKNOWN,Highway A
18,2025-10-20 22:29:24,Car,39.97,UNKNOWN,Highway A
20,2025-10-20 22:29:24,Car,55.88,UNKNOWN,Highway A
1,2025-10-20 22:29:25,Car,39.87,UNKNOWN,Highway A
3,2025-10-20 22:29:25,Car,11.24,UNKNOWN,Highway A
4,2025-10-20 22:29:25,Car,13.8,UNKNOWN,Highway A
6,2025-10-20 22:29:25,Car,20.27,UNKNOWN,Highway A
18,2025-10-20 22:29:26,Car,39.42,UNKNOWN,Highway A
20,2025-10-20 22:29:26,Car,54.71,UNKNOWN,Highway A
1,2025-10-20 22:29:27,Car,41.56,UNKNOWN,Highway A
3,2025-10-20 22:29:27,Car,11.24,UNKNOWN,Highway A
4,2025-10-20 22:29:28,Car,13.34,UNKNOWN,Highway A
6,2025-10-20 22:29:28,Car,20.68,UNKNOWN,Highway A
18,2025-10-20 22:29:28,Car,36.85,UNKNOWN,Highway A
20,2025-10-20 22:29:28,Car,53.54,UNKNOWN,Highway A
1,2025-10-20 22:29:30,Car,39.15,UNKNOWN,Highway A
4,2025-10-20 22:29:30,Car,11.99,UNKNOWN,Highway A
6,2025-10-20 22:29:30,Car,19.57,UNKNOWN,Highway A
18,2025-10-20 22:29:30,Car,32.35,UNKNOWN,Highway A
20,2025-10-20 22:29:30,Car,47.45,UNKNOWN,Highway A
1,2025-10-20 22:29:31,Car,37.72,UNKNOWN,Highway A
4,2025-10-20 22:29:31,Car,10.93,UNKNOWN,Highway A
6,2025-10-20 22:29:31,Car,19.23,UNKNOWN,Highway A
18,2025-10-20 22:29:32,Car,29.82,UNKNOWN,Highway A
20,2025-10-20 22:29:32,Car,41.92,UNKNOWN,Highway A
1,2025-10-20 22:29:34,Car,38.43,UNKNOWN,Highway A
4,2025-10-20 22:29:34,Car,11.68,UNKNOWN,Highway A
6,2025-10-20 22:29:34,Car,19.99,UNKNOWN,Highway A
18,2025-10-20 22:29:34,Car,28.8,UNKNOWN,Highway A
20,2025-10-20 22:29:34,Car,39.64,UNKNOWN,Highway A
1,2025-10-20 22:29:36,Car,45.53,UNKNOWN,Highway A
4,2025-10-20 22:29:36,Car,11.68,UNKNOWN,Highway A
6,2025-10-20 22:29:36,Car,21.51,UNKNOWN,Highway A
18,2025-10-20 22:29:36,Car,31.31,UNKNOWN,Highway A
20,2025-10-20 22:29:36,Car,42.59,UNKNOWN,Highway A
1,2025-10-20 22:29:38,Car,46.66,UNKNOWN,Highway A
4,2025-10-20 22:29:38,Car,12.88,UNKNOWN,Highway A
6,2025-10-20 22:29:38,Car,23.02,UNKNOWN,Highway A
18,2025-10-20 22:29:38,Car,31.31,UNKNOWN,Highway A
20,2025-10-20 22:29:38,Car,43.28,UNKNOWN,Highway A
1,2025-10-20 22:29:40,Car,45.41,UNKNOWN,Highway A
4,2025-10-20 22:29:40,Car,12.13,UNKNOWN,Highway A
6,2025-10-20 22:29:40,Car,23.37,UNKNOWN,Highway A
18,2025-10-20 22:29:40,Car,30.4,UNKNOWN,Highway A
20,2025-10-20 22:29:40,Car,43.19,UNKNOWN,Highway A
1,2025-10-20 22:29:42,Car,40.82,UNKNOWN,Highway A
4,2025-10-20 22:29:42,Car,11.39,UNKNOWN,Highway A
6,2025-10-20 22:29:42,Car,21.44,UNKNOWN,Highway A
18,2025-10-20 22:29:42,Car,27.42,UNKNOWN,Highway A
20,2025-10-20 22:29:42,Car,38.57,UNKNOWN,Highway A
1,2025-10-20 22:29:44,Car,38.66,UNKNOWN,Highway A
4,2025-10-20 22:29:44,Car,10.48,UNKNOWN,Highway A
6,2025-10-20 22:29:44,Car,21.85,UNKNOWN,Highway A
18,2025-10-20 22:29:44,Car,25.47,UNKNOWN,Highway A
20,2025-10-20 22:29:44,Car,36.29,UNKNOWN,Highway A
1,2025-10-20 22:29:46,Car,35.66,UNKNOWN,Highway A
4,2025-10-20 22:29:46,Car,10.48,UNKNOWN,Highway A
6,2025-10-20 22:29:46,Car,22.61,UNKNOWN,Highway A
18,2025-10-20 22:29:46,Car,25.31,UNKNOWN,Highway A
20,2025-10-20 22:29:46,Car,34.8,UNKNOWN,Highway A
1,2025-10-20 22:29:48,Car,35.35,UNKNOWN,Highway A
4,2025-10-20 22:29:48,Car,11.39,UNKNOWN,Highway A
6,2025-10-20 22:29:48,Car,24.89,UNKNOWN,Highway A
18,2025-10-20 22:29:48,Car,26.37,UNKNOWN,Highway A
20,2025-10-20 22:29:49,Car,35.97,UNKNOWN,Highway A
1,2025-10-20 22:29:50,Car,35.22,UNKNOWN,Highway A
4,2025-10-20 22:29:50,Car,11.68,UNKNOWN,Highway A
6,2025-10-20 22:29:50,Car,26.42,UNKNOWN,Highway A
18,2025-10-20 22:29:50,Car,27.43,UNKNOWN,Highway A
20,2025-10-20 22:29:50,Car,36.32,UNKNOWN,Highway A
1,2025-10-20 22:29:52,Car,34.58,UNKNOWN,Highway A
4,2025-10-20 22:29:52,Car,10.93,UNKNOWN,Highway A
6,2025-10-20 22:29:52,Car,27.24,UNKNOWN,Highway A
18,2025-10-20 22:29:52,Car,26.24,UNKNOWN,Highway A
20,2025-10-20 22:29:53,Car,35.53,UNKNOWN,Highway A
1,2025-10-20 22:29:54,Car,29.03,UNKNOWN,Highway A
4,2025-10-20 22:29:54,Car,10.93,UNKNOWN,Highway A
6,2025-10-20 22:29:54,Car,25.72,UNKNOWN,Highway A
18,2025-10-20 22:29:55,Car,23.67,UNKNOWN,Highway A
20,2025-10-20 22:29:55,Car,31.75,UNKNOWN,Highway A
1,2025-10-20 22:29:56,Car,26.14,UNKNOWN,Highway A
4,2025-10-20 22:29:56,Car,10.19,UNKNOWN,Highway A
6,2025-10-20 22:29:56,Car,25.31,UNKNOWN,Highway A
18,2025-10-20 22:29:56,Car,21.42,UNKNOWN,Highway A
20,2025-10-20 22:29:57,Car,29.46,UNKNOWN,Highway A
1,2025-10-20 22:29:58,Car,25.49,UNKNOWN,Highway A
6,2025-10-20 22:29:58,Car,26.48,UNKNOWN,Highway A
18,2025-10-20 22:29:58,Car,21.3,UNKNOWN,Highway A
20,2025-10-20 22:29:59,Car,28.35,UNKNOWN,Highway A
1,2025-10-20 22:30:00,Car,28.94,UNKNOWN,Highway A
6,2025-10-20 22:30:00,Car,29.18,UNKNOWN,Highway A
18,2025-10-20 22:30:00,Car,22.51,UNKNOWN,Highway A
20,2025-10-20 22:30:01,Car,30.78,UNKNOWN,Highway A
1,2025-10-20 22:30:02,Car,30.13,UNKNOWN,Highway A
4,2025-10-20 22:30:02,Car,10.65,UNKNOWN,Highway A
6,2025-10-20 22:30:02,Car,30.7,UNKNOWN,Highway A
18,2025-10-20 22:30:02,Car,22.78,UNKNOWN,Highway A
20,2025-10-20 22:30:02,Car,30.63,UNKNOWN,Highway A
1,2025-10-20 22:30:04,Car,30.89,UNKNOWN,Highway A
4,2025-10-20 22:30:04,Car,10.65,UNKNOWN,Highway A
6,2025-10-20 22:30:04,Car,31.88,UNKNOWN,Highway A
18,2025-10-20 22:30:04,Car,21.58,UNKNOWN,Highway A
20,2025-10-20 22:30:04,Car,29.82,UNKNOWN,Highway A
1,2025-10-20 22:30:06,Car,30.13,UNKNOWN,Highway A
6,2025-10-20 22:30:06,Car,29.94,UNKNOWN,Highway A
18,2025-10-20 22:30:06,Car,19.63,UNKNOWN,Highway A
20,2025-10-20 22:30:06,Car,28.27,UNKNOWN,Highway A
1,2025-10-20 22:30:08,Car,30.26,UNKNOWN,Highway A
6,2025-10-20 22:30:08,Car,30.36,UNKNOWN,Highway A
18,2025-10-20 22:30:08,Car,18.43,UNKNOWN,Highway A
20,2025-10-20 22:30:08,Car,26.35,UNKNOWN,Highway A
1,2025-10-20 22:30:10,Car,29.82,UNKNOWN,Highway A
6,2025-10-20 22:30:10,Car,30.7,UNKNOWN,Highway A
18,2025-10-20 22:30:10,Car,18.43,UNKNOWN,Highway A
20,2025-10-20 22:30:10,Car,24.85,UNKNOWN,Highway A
1,2025-10-20 22:30:12,Car,30.7,UNKNOWN,Highway A
6,2025-10-20 22:30:12,Car,34.16,UNKNOWN,Highway A
18,2025-10-20 22:30:12,Car,19.63,UNKNOWN,Highway A
20,2025-10-20 22:30:12,Car,26.77,UNKNOWN,Highway A
1,2025-10-20 22:30:14,Car,30.19,UNKNOWN,Highway A
6,2025-10-20 22:30:14,Car,36.1,UNKNOWN,Highway A
18,2025-10-20 22:30:14,Car,19.92,UNKNOWN,Highway A
20,2025-10-20 22:30:14,Car,26.37,UNKNOWN,Highway A
1,2025-10-20 22:30:15,Car,30.17,UNKNOWN,Highway A
6,2025-10-20 22:30:16,Car,36.85,UNKNOWN,Highway A
18,2025-10-20 22:30:16,Car,19.33,UNKNOWN,Highway A
20,2025-10-20 22:30:16,Car,25.61,UNKNOWN,Highway A
1,2025-10-20 22:30:17,Car,26.42,UNKNOWN,Highway A
6,2025-10-20 22:30:17,Car,35.0,UNKNOWN,Highway A
18,2025-10-20 22:30:18,Car,17.39,UNKNOWN,Highway A
20,2025-10-20 22:30:18,Car,22.92,UNKNOWN,Highway A
